A-01,A-02,A-03,A-04,A-05,A-06,A-07,A-08,A-09,A-10,A-11,A-12,A-13,A-14,A-15,A-16,A-17,A-18,A-19,A-20,A-21,A-22,A-23,A-24,A-25,A-26,A-27,A-28,A-29,A-30,A-31,A-32,A-33,A-34,A-35,A-36,A-37,A-38,A-39,A-40,A-41,A-42,A-43,A-44,A-45,A-46,A-47,A-48,A-49,A-50,A-51,A-52,A-53,A-54,A-55,A-56,A-57,A-58,A-59,A-60,A-61,A-62,A-63,B-01,B-02,B-03,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,B-24,B-25,B-26,B-27,B-28,B-29,B-30,B-31,B-32,B-33,B-34,B-35,B-36,Batch name,Batch CIE L,Batch CIE a,Batch CIE b,CIE DL,CIE Da,CIE Db,CIE DE,Findings
400,,,,,,,,,,,,,3,,,,,200,,,,,,,,,,,,,,,,,,,,,,,12,,,,200,,,150,,150,200,,,,,,,,,,,,,10,,,,,,,,,0.35,,0.03,,,,,,,,,,,,,,,,,,,,0.025,,,,1,78.42,0.15,3.97,-1.26,-0.4,-0.01,1.32,unqualified
400,,,,,,,,,,,,,3,,,,,200,,,,,,,,,,,,,,,,,,,,,,,12,,,,200,,,150,,150,200,,,,,,,,,,,,,10,,,,,,,,,0.307,,0.0423,,,,,,,,,,,,,,,,,,,,0.022,,,,2,79.54,0.56,3.92,-0.13,0.01,-0.06,0.14,qualified
,,,,,,,,,,,500,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,,,,,,,,,65,,,,,,1,,,,,,,,2,,0.2,,,,,,,,,,,,,,,,,,,,,0.003,,,,1,66.28,16.62,53.39,1.09,2.39,6.97,7.45,unqualified
,,,,,,,,,,,500,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,,,,,,,,,65,,,,,,1,,,,,,,,2,,0.05,,,,,,,,,,,,,,,,,,,,,0.004,,,,2,65.44,13.45,44.29,0.25,-0.78,-2.13,2.29,unqualified
,,,,,,,,,,,500,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,,,,,,,,,65,,,,,,1,,,,,,,,1,,0.07,,,,,,,,,,,,,,,,,,,,,0.005,,,,3,65.32,15.72,47.67,0.13,1.5,1.25,1.96,unqualified
,,,,,,,,,,,500,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,,,,,,,,,65,,,,,,1,,,,,,,,0.8,,0.05,,,,,,,,,,,,,,,,,,,,,0.006,,,,4,65.57,17.47,47.18,0.38,3.25,0.76,3.36,unqualified
,,,,,,,,,,,500,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,,,,,,,,,65,,,,,,1,,,,,,,,0.95,,0.065,,,,,,,,,,,,,,,,,,,,,0.00525,,,,5,65.45,16.65,47.39,0.26,2.42,0.97,2.62,unqualified
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,30,7,,,,500,,,100,,100,,,,300,,,,,,,,,,,30,,,,,,,,,,0.03,,,,,,0,,,,,,,,,,,,,,,,0.003,,,,1,93.73,-0.51,2.09,1.27,0.48,0.11,1.36,unqualified
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,30,7,,,,500,,,100,,100,,,,300,,,,,,,,,,,30,,,,,,,,,,0.04,,,,,,0.0007,,,,,,,,,,,,,,,,0.0045,,,,2,92.76,-0.73,1.88,0.3,0.26,-0.1,0.41,warnings
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,30,7,,,,500,,,100,,100,,,,300,,,,,,,,,,,30,,,,,,,,,,0.045,,,,,,0.0012,,,,,,,,,,,,,,,,0.0051,,,,3,92.04,-0.99,1.99,-0.42,0,0.01,0.42,warnings
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,30,7,,,,500,,,100,,100,,,,300,,,,,,,,,,,30,,,,,,,,,,0.5,,,,,,0.0012,,,,,,,,,,,,,,,,0.0048,,,,4,92.37,-0.85,1.96,-0.09,0.14,-0.02,0.17,qualified
,5,,,,,,,1,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,700,,,100,,200,,,300,,,,,,,,,,,,,,32,,,,,,,,1.8,,0.12,,,,,,,,,,,,,,,,,,,,0.071,,,,1,77.57,0.36,6.09,0.66,-0.1,0.28,0.73,unqualified
,5,,,,,,,1,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,700,,,100,,200,,,300,,,,,,,,,,,,,,32,,,,,,,,1.8,,0.125,,,,,,,,,,,,,,,,,,,,0.0736,,,,2,77.25,0.51,6,0.34,0.04,0.19,0.39,warnings
,5,,,,,,,1,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,700,,,100,,200,,,300,,,,,,,,,,,,,,32,,,,,,,,1.76,,0.125,,,,,,,,,,,,,,,,,,,,0.0736,,,,3,77.07,0.48,5.92,0.17,0.02,0.11,0.2,qualified
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,30,,,,33,32,,,,,,,,,300,,,,100,,100,,,300,,,,,,,,,,,,,,30,,,,,,,,0.015,,,,,,0.0015,,,,,,,,,,,,,,,,0.003,,,,1,92.38,-0.86,1.03,0.08,0.13,-0.87,0.88,unqualified
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,30,,,,33,32,,,,,,,,,300,,,,100,,100,,,300,,,,,,,,,,,,,,30,,,,,,,,0.05,,,,,,0.0025,,,,,,,,,,,,,,,,0.0025,,,,2,93.32,-1,1.81,1.02,-0.01,-0.09,1.02,unqualified
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,30,,,,33,32,,,,,,,,,300,,,,100,,100,,,300,,,,,,,,,,,,,,30,,,,,,,,0.065,,,,,,0.0025,,,,,,,,,,,,,,,,0.0045,,,,3,92.28,-1,1.96,-0.03,0,0.06,0.07,qualified
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,30,,,,33,32,,,,,,,,,300,,,,100,,100,,,300,,,,,,,,,,,,,,30,,,,,,,,0.065,,,,,,0.0015,,,,,,,,,,,,,,,,0.0045,,,,4,92.22,-0.98,1.82,-0.08,0.01,-0.08,0.11,qualified
,,,,,,,,,,300,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,200,,300,,,100,,200,,,,,,,,,,,,,,,30,,,,,,,,,0.05,,,,,,0.0012,,,,,,,,,,,,,,,,0.0048,,,,1,91.18,-0.83,2.6,-1.12,0.16,0.7,1.33,unqualified
,,,,,,,,,,300,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,200,,300,,,100,,200,,,,,,,,,,,,,,,30,,,,,,,,,0.01,,,,,,0.0014,,,,,,,,,,,,,,,,0.002,,,,2,92.79,-0.98,2.3,0.49,0.01,0.4,0.63,unqualified
,,,,,,,,,,300,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,200,,300,,,100,,200,,,,,,,,,,,,,,,30,,,,,,,,,0.01,,,,,,0.0014,,,,,,,,,,,,,,,,0.003,,,,3,92.28,-0.93,1.92,-0.02,0.07,0.02,0.07,qualified
,,,,,,,,,,300,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,200,,300,,,100,,200,,,,,,,,,,,,,,,30,,,,,,,,,0.01,,,,,,0.0015,,,,,,,,,,,,,,,,0.003,,,,4,92.39,-0.98,1.78,0.09,0.02,-0.12,0.15,qualified
