B-01,B-02,B-03,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,B-24,B-25,B-26,B-27,B-28,B-29,B-30,B-31,B-32,B-33,B-34,B-35,B-36,B-37,Batch name,Batch CIE L,Batch CIE a,Batch CIE b,CIE DL,CIE Da,CIE Db,CIE DE,Findings
,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,87.21,-3.15,7.25,7.0,-1.84,9.49,11.93,1
,,,,,,14.0,,,,,,,,,,,,,,,,,,0.0016,,,,,,,,,,,,,2,77.35,-5.01,-1.27,-2.86,-3.69,0.97,4.77,1
,,,,,,12.0,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,3,80.33,-1.3,-4.29,0.12,0.01,-2.05,2.06,1
,,,,,,11.0,,,,,,,,,,,,,,0.0002,,,,0.0007,,,,,,,,,,,,,4,80.65,-1.05,-2.49,0.44,0.27,-0.25,0.58,1
,,,,,,11.0,,,,,,,,,,,,,,,,,,0.0009,,,,,,,,,,,,,5,80.91,-2.06,-2.38,0.7,-0.75,-0.14,1.03,1
,,,,,,11.0,,,,,,,,,,,,,,0.0001,,,,0.0008,,,,,,,,,,,,,6,81.03,-1.83,-2.55,0.82,-0.52,-0.31,1.01,1
,,8.0,,,,,,,,,,,,,,0.00065,,,,,,,,,,,,,,,,,,,,,1,94.09,-3.37,0.32,-0.25,-1.51,-0.24,1.55,1
,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,95.0,-2.45,0.93,0.66,-0.59,0.37,0.96,1
,,8.5,,,,,,,,,,,,,,,,,,,,,,,,0.0003,,,,,,0.0001,,,,,3,94.15,-1.41,0.22,-0.19,0.45,-0.35,0.6,1
,,8.8,,,,,,,,,,,,,,,,,,,,,,,,0.00015,,,,,,0.0001,,,,,4,94.67,-1.38,0.63,0.33,0.48,0.06,0.59,1
,,8.8,,,,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,5,95.09,-2.0,0.67,0.75,-0.14,0.11,0.77,1
,,8.8,,,,,,,,,,,,,,0.0003,,,,0.00012,,,,,,,,,,,,,,,,,6,95.23,-1.58,0.56,0.89,0.28,-0.01,0.93,1
,,8.8,,,,,,,,,,,,,,0.0003,,,,0.0001,,,,,,,,,,,,,,,,,7,94.46,-1.87,0.46,0.12,-0.01,-0.1,0.16,0
,,,8.8,,,,,,,,,,,,,0.0008,,,,0.0006,,,,,,,,,,,,,,,,,3,93.88,-1.43,-2.08,-0.93,0.6,-2.13,2.4,1
,,,8.8,,,,,,,,,,,,,0.002,,,,0.0002,,,,,,,,,,,,,,,,,4,94.7,-3.77,-0.71,-0.12,-1.75,-0.77,1.91,1
,,,8.8,,,,,,,,,,,,,0.0012,,,,0.0001,,,,,,,,,,,,,,,,,5,95.19,-2.59,-0.5,0.37,-0.57,-0.56,0.88,1
,,9.0,,,,,,,,,,,,,,0.001,,,,0.0001,,,,,,,,,,,,,,,,,6,95.42,-2.32,0.15,0.61,-0.3,0.1,0.68,1
,,9.0,,,,,,,,,,,,,,0.0007,,,,0.0004,,,,,,,,,,,,,,,,,7,94.77,-2.34,-0.32,-0.04,-0.31,-0.37,0.49,1
,,,8.8,,,,,,,,,,,,,0.0007,,,,0.0008,,,,,,,,,,,,,,,,,8,94.44,-2.42,-1.22,-0.38,-0.39,-1.28,1.39,1
,50.0,,,,0.09,,,,,,,,,,,,,,,,,,,0.0192,,0.00186,,,,,,,,,,,1,92.21,-0.79,-2.39,-0.26,0.52,-0.5,0.76,1
,50.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.018,,0.0006,,,,,,,,,,,2,92.55,-0.76,-1.51,0.09,0.55,0.37,0.67,1
,50.0,,,,0.15,,,,,,,,,,,,,,,,,,,0.015,,0.0,,,,,,,,,,,3,93.12,-0.98,-1.69,0.66,0.32,0.2,0.76,1
,50.0,,,,0.055,,,,,,,,,,,,,,,,,,,0.0186,,0.0,,,,,,,,,,,4,92.65,-1.1,-1.83,0.19,0.2,0.05,0.28,0
10.0,,,,,,,,,,1.125,,0.035,,,,,,,,,,,,,,,,,,,,0.002,,,,,2,82.03,2.76,15.93,0.72,-0.88,0.16,1.15,1
10.0,,,,,,,,,,1.13,,0.045,,,,,,,,,,,,,,,,,,,,0.006,,,,,3,81.5,3.4,16.32,0.19,-0.24,0.55,0.63,1
10.0,,,,,,,,,,0.9,,0.047,,,,,,,,,,,,,,,,,,,,0.006,,,,,4,81.79,3.24,14.23,0.48,-0.4,-1.55,1.67,1
10.0,,,,,,,,,,1.13,,0.051,,,,,,,,,,,,,,,,,,,,0.0063,,,,,5,80.82,3.5,15.7,-0.49,-0.13,-0.07,0.51,1
10.0,,,,,,,,,,1.1,,0.0525,,,,,,,,,,,,,,,,,,,,0.0062,,,,,6,81.08,3.65,15.74,-0.23,0.01,-0.03,0.23,0
,10.0,,,,,,,,,1.1,,0.053,,,,,,,,,,,,,,,,,,,,0.006,,,,,1,84.95,2.94,13.63,3.65,-0.69,-2.09,4.27,1
,10.0,,,,,,,,,1.5,,0.064,,,,,,,,,,,,,,,,,,,,0.007,,,,,2,83.62,3.5,15.54,2.32,-0.14,-0.19,2.33,1
