A-01,A-02,A-03,A-04,A-05,A-06,A-07,A-08,A-09,A-10,A-11,A-12,A-13,A-14,A-15,A-16,A-17,A-18,A-19,A-20,A-21,A-22,A-23,A-24,A-25,A-26,A-27,A-28,A-29,A-30,A-31,A-32,A-33,A-34,A-35,A-36,A-37,A-38,A-39,A-40,A-41,A-42,A-43,A-44,A-45,A-46,A-47,A-48,A-49,A-50,A-51,A-52,A-53,A-54,A-55,A-56,A-57,A-58,A-59,A-60,A-61,A-62,A-63,B-01,B-02,B-03,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,B-24,B-25,B-26,B-27,B-28,B-29,B-30,B-31,B-32,B-33,B-34,B-35,B-36,Batch name,Batch CIE L,Batch CIE a,Batch CIE b,CIE DL,CIE Da,CIE Db,CIE DE,Findings
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,32,,,,,,,,500,,,,,300,,200,,300,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,87.21,-3.15,7.25,7,-1.84,9.49,11.93,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,32,,,,,,,,500,,,,,300,,200,,300,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,0.0016,,,,,,,,,,,,2,77.35,-5.01,-1.27,-2.86,-3.69,0.97,4.77,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,32,,,,,,,,500,,,,,300,,200,,300,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,3,80.33,-1.3,-4.29,0.12,0.01,-2.05,2.06,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,32,,,,,,,,500,,,,,300,,200,,300,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,0.0002,,,,0.0007,,,,,,,,,,,,4,80.65,-1.05,-2.49,0.44,0.27,-0.25,0.58,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,32,,,,,,,,500,,,,,300,,200,,300,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,0.0009,,,,,,,,,,,,5,80.91,-2.06,-2.38,0.7,-0.75,-0.14,1.03,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,32,,,,,,,,500,,,,,300,,200,,300,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,0.0001,,,,0.0008,,,,,,,,,,,,6,81.03,-1.83,-2.55,0.82,-0.52,-0.31,1.01,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,8,,,,,,,,,,,,,,0.00065,,,,,,,,,,,,,,,,,,,,1,94.09,-3.37,0.32,-0.25,-1.51,-0.24,1.55,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,95,-2.45,0.93,0.66,-0.59,0.37,0.96,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,0.0003,,,,,,0.0001,,,,3,94.15,-1.41,0.22,-0.19,0.45,-0.35,0.6,unqualified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,100,,,,300,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,0.00015,,,,,,0.0001,,,,4,94.67,-1.38,0.63,0.33,0.48,0.06,0.59,unqualified
